!xValues(GHz)	yValues(K)
84.1453377970	0.000000e+00
84.1458310840	0.000000e+00
84.1463243700	0.000000e+00
84.1468176570	0.000000e+00
84.1473109430	0.000000e+00
84.1478042300	0.000000e+00
84.1482975160	0.000000e+00
84.1487908030	0.000000e+00
84.1492840890	0.000000e+00
84.1497773760	0.000000e+00
84.1502706620	0.000000e+00
84.1507639490	0.000000e+00
84.1512572350	0.000000e+00
84.1517505220	0.000000e+00
84.1522438080	0.000000e+00
84.1527370950	0.000000e+00
84.1532303810	0.000000e+00
84.1537236680	0.000000e+00
84.1542169540	0.000000e+00
84.1547102410	0.000000e+00
84.1552035270	0.000000e+00
84.1556968140	0.000000e+00
84.1561901000	0.000000e+00
84.1566833870	0.000000e+00
84.1571766730	0.000000e+00
84.1576699600	0.000000e+00
84.1581632460	0.000000e+00
84.1586565330	0.000000e+00
84.1591498190	0.000000e+00
84.1596431060	0.000000e+00
84.1601363920	0.000000e+00
84.1606296790	0.000000e+00
84.1611229650	0.000000e+00
84.1616162520	0.000000e+00
84.1621095380	0.000000e+00
84.1626028250	0.000000e+00
84.1630961110	0.000000e+00
84.1635893980	0.000000e+00
84.1640826840	0.000000e+00
84.1645759710	0.000000e+00
84.1650692570	0.000000e+00
84.1655625440	0.000000e+00
84.1660558300	0.000000e+00
84.1665491170	0.000000e+00
84.1670424030	0.000000e+00
84.1675356900	0.000000e+00
84.1680289760	0.000000e+00
84.1685222630	0.000000e+00
84.1690155490	0.000000e+00
84.1695088360	0.000000e+00
84.1700021220	0.000000e+00
84.1704954090	0.000000e+00
84.1709886950	0.000000e+00
84.1714819820	0.000000e+00
84.1719752680	0.000000e+00
84.1724685550	0.000000e+00
84.1729618410	0.000000e+00
84.1734551280	0.000000e+00
84.1739484140	0.000000e+00
84.1744417010	0.000000e+00
84.1749349870	0.000000e+00
84.1754282740	0.000000e+00
84.1759215600	0.000000e+00
84.1764148470	0.000000e+00
84.1769081330	0.000000e+00
84.1774014200	0.000000e+00
84.1778947060	0.000000e+00
84.1783879930	0.000000e+00
84.1788812790	0.000000e+00
84.1793745660	0.000000e+00
84.1798678520	0.000000e+00
84.1803611390	0.000000e+00
84.1808544250	0.000000e+00
84.1813477120	0.000000e+00
84.1818409980	0.000000e+00
84.1823342850	0.000000e+00
84.1828275710	0.000000e+00
84.1833208580	0.000000e+00
84.1838141440	0.000000e+00
84.1843074310	0.000000e+00
84.1848007170	0.000000e+00
84.1852940040	0.000000e+00
84.1857872900	0.000000e+00
84.1862805770	0.000000e+00
84.1867738630	0.000000e+00
84.1872671500	0.000000e+00
84.1877604360	0.000000e+00
84.1882537230	0.000000e+00
84.1887470090	0.000000e+00
84.1892402960	0.000000e+00
84.1897335820	0.000000e+00
84.1902268690	0.000000e+00
84.1907201550	0.000000e+00
84.1912134420	0.000000e+00
84.1917067280	0.000000e+00
84.1922000150	0.000000e+00
84.1926933020	0.000000e+00
84.1931865880	0.000000e+00
84.1936798750	0.000000e+00
84.1941731610	0.000000e+00
84.1946664480	0.000000e+00
84.1951597340	0.000000e+00
84.1956530210	0.000000e+00
84.1961463070	0.000000e+00
84.1966395940	0.000000e+00
84.1971328800	0.000000e+00
84.1976261670	0.000000e+00
84.1981194530	0.000000e+00
84.1986127400	0.000000e+00
84.1991060260	0.000000e+00
84.1995993130	0.000000e+00
84.2000925990	0.000000e+00
84.2005858860	0.000000e+00
84.2010791720	0.000000e+00
84.2015724590	0.000000e+00
84.2020657450	0.000000e+00
84.2025590320	0.000000e+00
84.2030523180	0.000000e+00
84.2035456050	0.000000e+00
84.2040388910	0.000000e+00
84.2045321780	0.000000e+00
84.2050254640	0.000000e+00
84.2055187510	0.000000e+00
84.2060120370	0.000000e+00
84.2065053240	0.000000e+00
84.2069986100	0.000000e+00
84.2074918970	0.000000e+00
84.2079851830	0.000000e+00
84.2084784700	0.000000e+00
84.2089717560	0.000000e+00
84.2094650430	0.000000e+00
84.2099583290	0.000000e+00
84.2104516160	0.000000e+00
84.2109449020	0.000000e+00
84.2114381890	0.000000e+00
84.2119314750	0.000000e+00
84.2124247620	0.000000e+00
84.2129180480	0.000000e+00
84.2134113350	0.000000e+00
84.2139046210	0.000000e+00
84.2143979080	0.000000e+00
84.2148911940	0.000000e+00
84.2153844810	0.000000e+00
84.2158777670	0.000000e+00
84.2163710540	0.000000e+00
84.2168643400	0.000000e+00
84.2173576270	0.000000e+00
84.2178509130	0.000000e+00
84.2183442000	0.000000e+00
84.2188374860	0.000000e+00
84.2193307730	0.000000e+00
84.2198240590	0.000000e+00
84.2203173460	0.000000e+00
84.2208106320	0.000000e+00
84.2213039190	0.000000e+00
84.2217972050	0.000000e+00
84.2222904920	0.000000e+00
84.2227837780	0.000000e+00
84.2232770650	0.000000e+00
84.2237703510	0.000000e+00
84.2242636380	0.000000e+00
84.2247569240	0.000000e+00
84.2252502110	0.000000e+00
84.2257434970	0.000000e+00
84.2262367840	0.000000e+00
84.2267300700	0.000000e+00
84.2272233570	0.000000e+00
84.2277166430	0.000000e+00
84.2282099300	0.000000e+00
84.2287032160	0.000000e+00
84.2291965030	0.000000e+00
84.2296897890	0.000000e+00
84.2301830760	0.000000e+00
84.2306763620	0.000000e+00
84.2311696490	0.000000e+00
84.2316629350	0.000000e+00
84.2321562220	0.000000e+00
84.2326495080	0.000000e+00
84.2331427950	0.000000e+00
84.2336360810	0.000000e+00
84.2341293680	0.000000e+00
84.2346226540	0.000000e+00
84.2351159410	0.000000e+00
84.2356092270	0.000000e+00
84.2361025140	0.000000e+00
84.2365958000	0.000000e+00
84.2370890870	0.000000e+00
84.2375823730	0.000000e+00
84.2380756600	0.000000e+00
84.2385689460	0.000000e+00
84.2390622330	0.000000e+00
84.2395555190	0.000000e+00
84.2400488060	0.000000e+00
84.2405420920	0.000000e+00
84.2410353790	0.000000e+00
84.2415286650	0.000000e+00
84.2420219520	0.000000e+00
84.2425152380	0.000000e+00
84.2430085250	0.000000e+00
84.2435018110	0.000000e+00
84.2439950980	0.000000e+00
84.2444883840	0.000000e+00
84.2449816710	0.000000e+00
84.2454749570	0.000000e+00
84.2459682440	0.000000e+00
84.2464615300	0.000000e+00
84.2469548170	0.000000e+00
84.2474481030	0.000000e+00
84.2479413900	0.000000e+00
84.2484346760	0.000000e+00
84.2489279630	0.000000e+00
84.2494212490	0.000000e+00
84.2499145360	0.000000e+00
84.2504078220	0.000000e+00
84.2509011090	0.000000e+00
84.2513943950	0.000000e+00
84.2518876820	0.000000e+00
84.2523809680	0.000000e+00
84.2528742550	0.000000e+00
84.2533675410	0.000000e+00
84.2538608280	0.000000e+00
84.2543541140	0.000000e+00
84.2548474010	0.000000e+00
84.2553406870	0.000000e+00
84.2558339740	0.000000e+00
84.2563272600	0.000000e+00
84.2568205470	0.000000e+00
84.2573138330	0.000000e+00
84.2578071200	0.000000e+00
84.2583004060	0.000000e+00
84.2587936930	0.000000e+00
84.2592869790	0.000000e+00
84.2597802660	0.000000e+00
84.2602735520	0.000000e+00
84.2607668390	0.000000e+00
84.2612601250	0.000000e+00
84.2617534120	0.000000e+00
84.2622466980	0.000000e+00
84.2627399850	0.000000e+00
84.2632332710	0.000000e+00
84.2637265580	0.000000e+00
84.2642198440	0.000000e+00
84.2647131310	0.000000e+00
84.2652064170	0.000000e+00
84.2656997040	0.000000e+00
84.2661929900	0.000000e+00
84.2666862770	0.000000e+00
84.2671795630	0.000000e+00
84.2676728500	0.000000e+00
84.2681661360	0.000000e+00
84.2686594230	0.000000e+00
84.2691527090	0.000000e+00
84.2696459960	0.000000e+00
84.2701392820	0.000000e+00
84.2706325690	0.000000e+00
84.2711258550	0.000000e+00
84.2716191420	0.000000e+00
84.2721124280	0.000000e+00
84.2726057150	0.000000e+00
84.2730990010	0.000000e+00
84.2735922880	0.000000e+00
84.2740855740	0.000000e+00
84.2745788610	0.000000e+00
84.2750721470	0.000000e+00
84.2755654340	0.000000e+00
84.2760587200	0.000000e+00
84.2765520070	0.000000e+00
84.2770452930	0.000000e+00
84.2775385800	0.000000e+00
84.2780318660	0.000000e+00
84.2785251530	0.000000e+00
84.2790184390	0.000000e+00
84.2795117260	0.000000e+00
84.2800050120	0.000000e+00
84.2804982990	0.000000e+00
84.2809915850	0.000000e+00
84.2814848720	0.000000e+00
84.2819781580	0.000000e+00
84.2824714450	0.000000e+00
84.2829647310	0.000000e+00
84.2834580180	0.000000e+00
84.2839513040	0.000000e+00
84.2844445910	0.000000e+00
84.2849378770	0.000000e+00
84.2854311640	0.000000e+00
84.2859244500	0.000000e+00
84.2864177370	0.000000e+00
84.2869110230	0.000000e+00
84.2874043100	0.000000e+00
84.2878975960	0.000000e+00
84.2883908830	0.000000e+00
84.2888841690	0.000000e+00
84.2893774560	0.000000e+00
84.2898707430	0.000000e+00
84.2903640290	0.000000e+00
84.2908573160	0.000000e+00
84.2913506020	0.000000e+00
84.2918438890	0.000000e+00
84.2923371750	0.000000e+00
84.2928304620	0.000000e+00
